Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
Empty,"HIV begets superficial _candida_ infections, not systemic fungal ones"
Empty,_Legionella_ can be visualized on BYCE or silver stain; spread through water systems; a common cause of nosocomial pneumonia
Empty,"Viral tissue/cell affinity is generally determined by surface glycoproteins; other processes, such as endonucleases, proteases, etc. deal with affinity-independent viral replication"
" malaria, or babesiosis. Clinical presentations of both are similar; with babesiosis caused by ticks and malaria by mosquitos",Intra-RBC ring inclusions visualized in microscopy generally indicate one of two diseases
" fever, polyarthritis, macular rash. The polyarthritis and source separates it from similar Typhoid fever",_Aedes_ mosquito begets Dengue fever
Empty,"Ampicillin treats _Listeria_ infection, which can occur with eating soft cheeses or milk"
" hydrocephalus, intracranial calcifications, and choriorentinitis. Avoided by having mothers avoid cat feces.","Congenital toxoplasmosis is acquired in utero, characterized by"
 reduced GFR also reduces Na+ excretion; reduced Na+ excretion increases osmolarity of the blood; increased osmolarity of the blood increases volume; increased blood volume -> increased pressure,NSAIDS can contribute to high blood pressure via reducing GFR
Empty,"NSAIDs can also contribute acute nephritis, even causing papillary necrosis"
Empty,Allopurinol can cause DRESS syndrome; a systemic reaction with eosinophilia and systemic symptoms
Empty,Protein A from _S. aureus_ binds IgG at the Fc region to disable their function
 1) active infection and 2) >6 months following initial infection,HBsAg is the surface antigen for hepatitis B and will present during
Empty,"In hepatitis B infection, HBeAg is an indicator of infectivity, and will be positive during active infection"
" 1) ulcerative colitis, 2) sclerosing cholangitis, and 3) eosinophilic granulomatosis with polyangiitis",Antineutrophil cytoplasm antibodies (p-ANCA) are associated with
" type 2 hypersensitivity reaction to endogenous type IV collagen; primarily affects the basement membranes in the alveoli and glomeruli. If the glomerulus was sliced and visualized via immunofluorescence, a linear pattern of Ab deposition could be seen",Goodpasture syndrome
" hemoptysis, hematuria, smooth, linear pattern on IF, crescent formation under light microscopy",Symptoms &amp; signs of Goodpasture syndrome
 Deficiency of Th17 cells due to _STAT3_ mutation -> impaired neutrophil recruitment,Autosomal dominant hyper-IgE syndrome (Job syndrome)
Empty,IL-9 is produced by T-lymphocytes and plays a role in mast cell activation
Empty,"_Neisseria meningitidis_ infection can result in hypotension, tachycardia, and a rapidly enlarging pupuric rash"
 adrenal insufficiency,_Neisseria meningitidis_ can also cause gangrene of toes; and Waterhouse-Friderichsen syndrome (via hemorrhaging the adrenal glands)
" *Conjunctivitis, Coryza (stuffy nose), *C* ough. Also will have a rash spreading from head to toe, along with red lesions with white centers in the oral cavity",Measles is also known as Rubeola and is associated with the 3 C's
" in Rubella URI precedes rash, in *Rubeola* URI follows rash",Rubeola vs Rubella
Empty,"_Shigella_ is exremely virulent, only requiring &lt;100 organisms to seed clinical infection"
 osler nodes,Sign of subacute bacterial endocartitis (e.g. from viridians streptoccoci)
Empty,Theyer-Martin medium is used to culture _Neisseria gonorrhoeae_
Empty,_Dermacentor_ tick is responsible for transmitting _Rickettsia rickettsii_ and Rocky Mountain spotted fever
Empty,Antibodies for _Rickettsia rickettsii_ cross-react with the _Proteus_ antigen
 acute treatment is exchange Rh-positive blood with Rh-negative blood.,Rh mismatch
" intravascular is lysing of RBCs into plasma, EXTRAvascular is phagocytosis of RBCs by macrophages in spleen and liver",Intravascular vs. extravascular hemolysis
 Heberden nodes - hard bony swellings of the DIP,Osteoarthritis
" can't see (conjunctivitis), *can't pee* (urethritis), *can't bend my knee* (arthritis), *no anti-IgG*","Reactive arthritis, e.g. following _campylobacter_ infection"
 Ulnar deviation of hands is a late manifestation,Rheumatoid arthritis
 inactivating tumor suppressor genes such as _p53_ and _Rb_,HPV mechanism of oncogenesis
Empty,HIV-mediated immune suppression / dysregulation give rise to lymphomas and Kaposi's sarcoma
" in histology,characterized by broad-based budding yeast; endemic to Eastern states + Great Lakes; presents with flu-like symptoms + pleuritic chest pain",_Blastomyces dermatitidis_ is a fungus
Empty,Bacteremia or altered-mental status generally indicates *severe* infection and requires a stronger drug for treatment
Empty,"_Neisseria gonorrhoeae_ is a facultative intracellular gram-negative diplococci; due to its facultative intracellular nature, it can be detected via gram stain in urethral discharge"
" headache, nuchal rigidity (stiff neck)",Meningitis's characteristic signs
" results in subacute, sclerosing panencephalitis; a rare progessive demyelinating disease",Measles can cause a disease following 6-8 years of infection
" can result in inflammation of subQ fat called erythema nodosum. Can present as a rash on skin, with tender, subQ nodules. Mechanism unknown.",Inflammatory bowel diseases
" a chronic hardening / contraction of skin &amp; connective tissue, can be systemic or local. Often appears with other issues. CREST syndrome: Calcinosis, Raynaud phenomenon, Esophageal dysmotility, Scleroderma, Telangiectasias",Scleroderma
 spider veins,Telangiectasias
 intracellular junctions that connect epidermal cells to each other,Desmosomes
" Presents with raised blisters (tense bullae), and not shallow, flaccid blisters (e.g. pemphigus vulgaris). Disease due to anti-type XVII collagen Ab present in skin.",Bullous pemphigoid
" Presents with nonspecific fever, rash, and bone swelling. Disease due to too many histiocytes (e.g. macrophages of all kinds, dendritic cells). Characterized by proliferation of cells with tennis racket shaped-granules / coffee bean nuclei.",Histiocytosis
Empty,Glucocorticoids are indicated for acute injury to CNS to prevent excessive edema (further damage)
" acute inflammatory demyelnating polyradiculoneuropathy. Presents with fever from an initial infection, followed by ascending weakness/paralysis. Can be treated by prompt plasmapheresis, IgG to undo cross-reactive antibodies that bind myelin.",Guillian-Barre syndrome
 a result of gastric cancer. Leathery appearance of stomach in endoscopy.,Linitis plastica
 Marrow transplant is contraindicated due to functional T-cells,Bruton agammaglobulinemia
 can cause a parasitic infection that is not cyclic in nature,_Plasmodium falciparum_
" Transforming growth-factor beta dampens the immune response following higher levels of IL-1, and limiting TNF-alpha release by macrophages",Rheumatoid arthritis
" Self-limiting disease, caused by parvovirus B19. Presents as a fever, then a erythematous reticular rash that looks like ""slapped cheeks"". Worst-case, for those with sickle cell, can cause profound anemia due to infection in RBC precursors",Fifth disease
" Disseminated _Mycobacterium avium-intracellulare_, zoonotic, occurs at CD4+ <50 cells/mm^3. Prophylaxis is done with azithromycin at 50.",HIV
" Bacterial and fungal are the same opening pressure, protein, and glucose. Only difference: PMNs with bacteria, lymphocytes with fungi.",CSF Findings in Meningitis
" 150 opening pressure, <5 WBC, 35 protein",Normal CSF
" derpatitis, hepatitis, gastroenteritis.",Graft vs host disease
" Assositated with hypertense signal abnormalities in periventricular white matter, as well as clonally expanded IgG Abs in CSF",MS
 Failure of helper T lymphocytes to produce interferon-gamma,Job's Syndrome
 Rash in stage 1 disappears. In stage 2: Bell's palsy is not necessarily bilaterial. In stage 3: chronic polyarthritis is also common in addition to encephalitis.,Lyme disease
 Has a polyribosylribitol phosphate capsule,H. influenza
 Oxygen radicals that cause epithelial necrosis within the lung,Mycoplasma pneumoniae
 #1 cause of meningitis in neonates; Strep pneumo is #1 >6mo,Group B Strep
 Extracellular elementary bodies are the most infectious stage of chlamydia,Chlamydia trachomitis
" Auto Ab vs MPO, may present with pulmonary or renal involvement. Associated with saddle nose deformity and formation of necrotizing granulomas.",Microscopic polyangiitis (MPA)
" Rapid onset fever and symptoms. Can be spread through community water sources (e.g. air conditioner at a hotel, whirlpools, mist sprayers); Silver stain is yellow in background with brown organisms.",Legionnare's Disease
 Most common cause in children is _S. aureus_ followed by Group A strep,Impetigo
 Severe lower quadrant pain without gestational sac in uterus,Ectopic pregnancy
 Can ultimately result in retinal detachment with long-term infection secondary to necrosis,CMV Retinitis
22) Philadelphia translocation: Creates a constituatively active tyrosine kinase,t(9
 express a toxin via a temperate bacteriophage,C diptheriae and Group A Strep and S. Pyogenes
 Tick vector; Berry-like cytoplasmic inclusions in macrophages or neutrophils,ehrlichia chaffeensis
 Eosinic globules believed to be the result of hepatocyte apoptosis,Councilman bodies
 Treated with abendazole,Echinococcus Granulosus
" ""air-crescent sign in lungs, associated with reabsorption of necrotic tissue following invasive fungal infection""
*Cholangitis*: RUQ pain, jaundice, fever; with abdominal pain after eating; associated with long-standing gallstones
*Neurocysticercosis*: Tends to occur outside US with undercooked pork; but can manifest as focal neurologic deficits
*Viridians strep*: Bacterial endocarditis from prior mitral valve injury (such as from rheumatic fever) is possible
*Rickettsia rickettsii*: Rocky mountain spotted fever rash appears 2-5 days after the fever begins
*Pneumocystis jirovecii*: bronchioalveolar lavage can reveal foamy alveolar casts
*Heptatitis E*: Resembles hep A but much more severe in pregnant women
*C Tetani*: Neonatal infection of unclean umbilical stump is common in developing countries
*Haemophilus ducreyi*: Gram negative, coccobaccilis, chancroid forming bacteria
*Transduction vs transformation*: Transduction from bacteriophage (aka transfection); transformation from free environment
*Scarlet fever*: Not always acute, made of 1-2mm papular lesions (sandpaper) that tend to start at the neck then spread to the trunk. Spares the face, but strawberry tongue is part of it. Caused by Group A Strep (aka s. pyogenes erythrogenic toxins)
*Toxic shock syndrome*: From S. Aureus; causes widsepread erythroderma followed by desquamination 1-2 weeks later; acute ill with high fever and hypotension
*Hemolytic uremic syndrome*: E.coli O157:H7, and Shiga-toxin have the same MOA: inhibition of the 60s ribosomal subunit
*RSV*: bhronciolitis can appear as bad cold with wheezing, crackles on lung auscultation
*Post-strep glomerulonephritis*: Type III hypersensitivity reaction via deposition of antibody-antigen complexes in glomerular basement membrane, causing reaction
*Pseudomonas aeruginosa*: ventilator-associated pneumonia, usually after >48hrs of mechanical ventilation
*Macrolides*: Inhibit protein synthesis (translocation) by binding to the 50S ribosomal subunit
*Normal bacterial flora of the vagina*: Lactobacilli are keyh
*Haemophilus influenzae*: ""thumb sign"" as a result of highly inflamed cherry red epiglottis can be seen in X-ray
*H. pylori*: results in small, sharply demarcated erosions filled with nonspecific inflammatory infiltrate",Aspergillus
 Diagnosis can be through detection of antigen in a stool sample or liver abcess,Entamoeba histolytica
 first line therapy in the treatment of _Acinetobacter_ and _Enterobacter_ species,Carbapenems
" fever, sore throat, anterior cervical lypmhadenopathy, lack of cough; AKA stroptococcal pharyngitis",Strep throat
 most common cause of osteomyletis in asplenic patients as a whole; S. Aureus is common too,Salmonella
 single-stranded linear RNA virus,HTLV-1
 also associated with arthritis,Yellow fever
" classic presentation is high fever, flushing, erythematous mottling of the skin",Dengue fever
" Buboes can be described as ""exquisitely tender lymph nodes""; prolonged spread of Y. pestis can lead to DIC",Yersina pestis
" trismus = ""lockjaw""",Tetanus
 can cause lobar pneumonia in alcoholics and diabetics when aspirated,Klebsiella
 1st line therapy for Listeria and Enterococcus,Ampicillin
 common cause of anogenital squamous cell cancer,HPV-16
 common cause of anogenital lesions (condylomata acuminata),"HPV-11, HPV-6"
 e.g. from _B. cereus_ is supportive and does not require antibiotics,Exotoxin therapy
" single stranded positive sense RNA virus; hepevirus family, similar to picornovirus",Hep E
 has adherent pili that act as the primary virulence factor,N. gonorrhoeae
" can be described as erythematous papules on palms, or painful raised lesions on finger pads",Osler nodes
" Gram-positive, alpha-hemolytic, cocci in chains",Strep viridans
 testing for acute HIV includes HIV-1/HIV-2 antibody and p24 antigen immunoassays; ELISA followed by western blot does not detect acute HIV infection as well,HIV
